id,name,buyable,sellable,cardBuyable,cardSellable,instantBuyable,instantSellable,approxPriceChf
24,TRY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
23,RUB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
22,RON,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
21,PLN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
20,ILS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
19,MXN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
18,HUF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
17,AED,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.2146050473
16,ZAR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
15,CZK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
14,ISK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
13,SEK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
12,NOK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
11,DKK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
10,SGD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
9,HKD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
8,CAD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
7,NZD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
6,AUD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
5,JPY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
4,GBP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
3,USD,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.788045772
2,EUR,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.9290615421
1,CHF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
